Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10u,C_0805_2012Metric,1.4037,6.4812,-90,top
C3,10u,C_0805_2012Metric,20.1997,6.4812,-90,top
C4,1u,C_0603_1608Metric,3.804,2.468,-90,top
C5,1u,C_0603_1608Metric,9.7349,2.468,-90,top
C6,1u,C_0603_1608Metric,10.027,6.659,-90,top
C7,1u,C_0603_1608Metric,12.059,6.659,-90,top
C8,1u,C_0603_1608Metric,16.25,2.468,-90,top
C9,1u,C_0603_1608Metric,20.314,2.468,-90,top
C10,0.1u,C_0603_1608Metric,19.8755,20.0584,-90,top
C11,0.1u,C_0603_1608Metric,23.9395,20.0584,-90,top
C12,0.1u,C_0603_1608Metric,21.9075,20.0584,-90,top
C13,0.1u,C_0603_1608Metric,25.9715,20.0584,-90,top
C14,150p,C_0603_1608Metric,1.524,24.638,-90,top
C15,150p,C_0603_1608Metric,13.335,23.114,-90,top
C16,47u,CP_EIA-3528-15_AVX-H,8.8265,28.7655,180,top
C17,47u,CP_EIA-3528-15_AVX-H,2.032,31.242,90,top
C18,0.1u,C_0603_1608Metric,26.8859,24.0044,90,top
C19,10u,C_1206_3216Metric,28.9,22.2044,-90,top
C20,0.1u,C_0603_1608Metric,2.05,-5.65,0,top
C21,0.1u,C_0603_1608Metric,13.843,25.654,0,top
C22,220u,CP_EIA-3528-15_AVX-H,13.32,39.4325,90,top
C23,220u,CP_EIA-3528-15_AVX-H,20.76,39.2475,-90,top
C24,220u,CP_EIA-3528-15_AVX-H,24.07,39.2275,-90,top
C25,10u,C_1206_3216Metric,11.551,12.12,-90,top
C26,0.1u,C_0603_1608Metric,20.59,31.13,180,top
C27,1nf,C_0603_1608Metric,14,16.75,90,top
C28,0.1u,C_0603_1608Metric,20.59,32.61,180,top
C29,0.1u,C_0603_1608Metric,20.57,34.08,180,top
C30,10u,C_1206_3216Metric,34.9,10.3,180,top
C31,47u,CP_EIA-3528-15_AVX-H,16,20,0,top
C32,18p,C_0603_1608Metric,35.375,-2.75,-90,top
C33,0.1u,C_0603_1608Metric,32.1,29,0,top
C34,9p,C_0603_1608Metric,36.75,-0.45,180,top
C35,10u,C_1206_3216Metric,32.8,26.7,0,top
C36,220u,CP_EIA-3528-15_AVX-H,17.21,28.19,180,top
C37,220u,CP_EIA-3528-15_AVX-H,33.1,16.3,0,top
C38,220u,CP_EIA-3528-15_AVX-H,32.9,22.7,0,top
D2,1N4148W,D_SOD-123,37.35,-3.6,90,top
IC1,THS7374IPWR,TSSOP-14_4.4x5mm_P0.65mm,23.11,25.7734,90,top
IC2,TL974,TSSOP-14_4.4x5mm_P0.65mm,8.2375,22.94,0,top
L1,68u,L_0805_2012Metric,36.025,2.15,-90,top
R2,2.2k,R_0603_1608Metric,21.203,10.088,-90,top
R3,100k,R_0603_1608Metric,1.3021,0.8932,90,top
R4,100k,R_0603_1608Metric,24.2637,1.1472,90,top
R5,5.62k,R_0603_1608Metric,23.2985,10.088,-90,top
R6,5.62k,R_0603_1608Metric,25.394,10.088,-90,top
R7,5.62k,R_0603_1608Metric,27.8705,10.088,90,top
R8,75,R_0603_1608Metric,5.836,2.468,90,top
R9,75,R_0603_1608Metric,7.8299,2.468,90,top
R10,750,R_0603_1608Metric,11.932,2.468,90,top
R11,2.2k,R_0603_1608Metric,14.218,2.468,90,top
R12,75,R_0603_1608Metric,18.282,2.468,90,top
R13,75,R_0603_1608Metric,22.0539,2.468,90,top
R14,5.62k,R_0603_1608Metric,22.2825,13.136,90,top
R15,5.62k,R_0603_1608Metric,26.4735,13.136,90,top
R16,5.62k,R_0603_1608Metric,20.2505,13.136,90,top
R17,5.62k,R_0603_1608Metric,24.378,13.136,90,top
R18,1k,R_0603_1608Metric,20.828,17.0104,90,top
R19,1k,R_0603_1608Metric,22.9235,17.0104,90,top
R20,210k,R_0603_1608Metric,3.931,6.659,90,top
R21,210k,R_0603_1608Metric,5.963,6.659,90,top
R22,210k,R_0603_1608Metric,7.995,6.659,90,top
R23,210k,R_0603_1608Metric,14.091,6.659,90,top
R24,210k,R_0603_1608Metric,16.123,6.659,90,top
R25,210k,R_0603_1608Metric,18.155,6.659,90,top
R26,10k,R_0603_1608Metric,1.3529,13.2376,90,top
R27,100k,R_0603_1608Metric,3.2579,13.2376,90,top
R28,130k,R_0603_1608Metric,5.1629,13.2376,90,top
R29,10k,R_0603_1608Metric,14.091,13.136,90,top
R30,100k,R_0603_1608Metric,16.123,13.136,90,top
R31,130k,R_0603_1608Metric,18.155,13.136,90,top
R32,1k,R_0603_1608Metric,24.9555,17.0104,90,top
R33,1k,R_0603_1608Metric,26.9875,17.0104,90,top
R34,300k,R_0603_1608Metric,3.556,24.638,90,top
R35,300k,R_0603_1608Metric,15.367,23.114,90,top
R36,10k,R_0603_1608Metric,1.75,16.75,-90,top
R37,10k,R_0603_1608Metric,3.5,16.75,90,top
R38,5.62k,R_0603_1608Metric,26.9,27.1044,90,top
R39,330,R_0603_1608Metric,17.399,23.114,90,top
R40,330,R_0603_1608Metric,2.159,27.7876,180,top
R41,75,R_0603_1608Metric,9.9,40.87,0,top
R42,75,R_0603_1608Metric,17.08,40.82,0,top
R43,75,R_0603_1608Metric,17.05,31.825,90,top
R44,10k,R_0603_1608Metric,7.4235,13.136,-90,top
R45,10k,R_0603_1608Metric,9.519,13.136,90,top
R46,5.5k,R_0603_1608Metric,16.25,16.75,-90,top
R47,10k,R_0603_1608Metric,33.5,6.6,-90,top
R48,10k,R_0603_1608Metric,36.2,6.6,90,top
R49,330,R_0603_1608Metric,18.5,16.75,90,top
R50,10k,R_0603_1608Metric,24.095,36.08,0,top
R51,75,R_0603_1608Metric,24.07,34.05,180,top
R52,75,R_0603_1608Metric,24.06,32.26,180,top
R53,75,R_0603_1608Metric,24.12,30.55,180,top
R54,470,R_0603_1608Metric,37.675,1.975,90,top
R55,75,R_0603_1608Metric,13,29.7,0,top
R56,75,R_0603_1608Metric,31.9,13.1,180,top
R57,75,R_0603_1608Metric,32,19.9,180,top
U1,AD725,SOIC-16W_7.5x10.3mm_P1.27mm,31.825,35.645,0,top
Y1,HCM4917734475ABJT,Crystal_SMD_HC49-SD,7.5,-15.35,180,top
Y2,HCM4914318180BBKT,Crystal_SMD_HC49-SD,7.45,-10.05,180,top
Z1,Conn_01x33_Pin,Molex_502244-3330_1x33-1MP_P0.5mm_Horizontal,28.15,-14,0,top
